house name,price per week,room type,bedroom,bathroom,parking,school 1,distance 1,school 2,distance 2,school 3,distance 3,school 4,distance 4,school 5,distance 5
29 Wellington St Geelong West Vic 3218,675,House,4,2,1,Ashby Primary School,348,St Patrick's School,522,St John's Lutheran School,1031,Matthew Flinders Girls Secondary College,1205,Newtown Primary School,1383
2907/35 Malcolm Street South Yarra Vic 3141,770,Apartment,2,2,2,Kamaruka Education Centre,145,Melbourne High School,241,Richmond Primary School,881,Christ Church Grammar School,942,South Yarra Primary School,1083
2/10 Lorne Parade Mont Albert Vic 3127,480,Unit,2,1,1,Our Holy Redeemer School,291,Surrey Hills Primary School,389,Chatham Primary School,917,Our Lady of Perpetual Succour School,1157,Mont Albert Primary School,1163
2/103 Guildford Road Surrey Hills Vic 3127,455,Villa,2,1,2,Our Holy Redeemer School,405,Surrey Hills Primary School,517,Chatham Primary School,580,Mont Albert Primary School,1310,Canterbury Primary School,1456
2/11 Mernda Road Kooyong Vic 3144,550,Apartment,3,1,0,Bialik College,858,Auburn High School,934,Alia College,955,Auburn South Primary School,998,Scotch College,1027
2/230 Ferrars Street South Melbourne Vic 3205,950,Townhouse,2,2,2,Galilee Regional Catholic Primary School,260,South Melbourne Primary School,532,Montague Continuing Education Centre,581,Albert Park Primary School,933,South Melbourne Park Primary School,1005
2/24 Power Street Dandenong Vic 3175,399,Unit,3,2,2,St Mary's Primary School,240,St John's Regional College,309,Dandenong Primary School,366,Maranatha Junior School Doveton,1276,Holy Family School,1321
2/24 Tennyson Street Elwood Vic 3184,420,Apartment,2,1,1,Yesodei Hatorah College,263,St Kilda Primary School,382,Elwood Primary School,1061,Elwood College,1073,St Columba's School,1215
2/267 Wantirna Road Wantirna Vic 3152,475,Townhouse,3,2,2,Heathmont College,493,Marlborough Primary School,605,St Luke's School,1587,St James' School,1619,Regency Park Primary School,1697
2/29 Gresford Road Wantirna Vic 3152,430,House,3,1,2,St Luke's School,501,Regency Park Primary School,553,Wantirna College,897,Templeton Primary School,1318,Heathmont College,1353
2/30 Highlands Road Thomastown Vic 3074,400,Unit,3,1,2,Thomastown Primary School,404,Thomastown Secondary College,775,Thomastown West Primary School,779,St Luke's Primary School,1000,St Clare's School,1228
2/353 Geelong Road Kingsville Vic 3012,410,Unit,2,1,1,Corpus Christi School,324,Kingsville Primary School,544,Yarraville West Primary School,1107,Yarraville Special Developmental School,1311,St Augustine's School,1317
2/39 Olive Street Reservoir Vic 3073,420,Townhouse,2,1,1,St Gabriel's School,275,Reservoir Primary School,636,Reservoir West Primary School,1390,St Stephen's School,1436,Preston Primary School,1603
